Transcript stable ID	CCDS ID
ENST00000509899	
ENST00000304725	CCDS13161
ENST00000582111	
ENST00000368143	CCDS34536
ENST00000559991	
ENST00000390517	
ENST00000231512	CCDS4167
ENST00000520766	
ENST00000479077	CCDS46515
ENST00000555736	
ENST00000557721	
ENST00000258383	CCDS2459
ENST00000441213	
ENST00000471467	
ENST00000431829	
ENST00000557506	
ENST00000553754	
ENST00000331428	CCDS42975
ENST00000568403	
ENST00000523173	
ENST00000555186	
ENST00000522317	CCDS6377
ENST00000438392	
ENST00000306051	CCDS9707
ENST00000440707	
ENST00000361910	CCDS14488
ENST00000520824	
ENST00000566448	
ENST00000614118	
ENST00000427446	
ENST00000622671	
ENST00000565692	
ENST00000523477	
ENST00000557463	
ENST00000390518	
ENST00000518044	
ENST00000507191	
ENST00000554701	
ENST00000625174	
ENST00000623539	
ENST00000514930	
ENST00000523653	
ENST00000623078	
ENST00000531887	
ENST00000509913	
ENST00000431460	
ENST00000522678	CCDS46515
ENST00000390519	
ENST00000553372	CCDS61454
ENST00000519923	
ENST00000451913	
ENST00000555978	CCDS12112
ENST00000566722	
ENST00000554374	
ENST00000458430	
ENST00000519574	CCDS46515
ENST00000462302	
ENST00000390520	
ENST00000378368	
ENST00000467089	
ENST00000484315	
ENST00000627642	
ENST00000627179	
ENST00000612907	CCDS76031
ENST00000521462	CCDS46515
ENST00000390521	
ENST00000495964	
ENST00000422208	
ENST00000520439	CCDS6377
ENST00000435756	
ENST00000494624	
ENST00000509361	
ENST00000562403	
ENST00000426261	
ENST00000538627	CCDS14488
ENST00000376560	CCDS43440
ENST00000539247	CCDS14488
ENST00000555633	CCDS12112
ENST00000554773	
ENST00000468381	
ENST00000303015	CCDS6377
ENST00000605791	CCDS76031
ENST00000425158	
ENST00000420283	CCDS5106
ENST00000481698	
ENST00000536958	
ENST00000376557	CCDS43441
ENST00000582941	
ENST00000504916	
ENST00000568955	
ENST00000418213	
ENST00000565135	
ENST00000435041	CCDS5021
ENST00000540508	
ENST00000416608	CCDS43548
ENST00000504382	
ENST00000538604	
ENST00000505679	
ENST00000602295	
ENST00000346693	
ENST00000519793	
ENST00000508958	
ENST00000505750	
ENST00000522230	
ENST00000586395	
ENST00000242104	CCDS43548
ENST00000450133	
ENST00000443092	
ENST00000381639	
ENST00000439586	
ENST00000434567	
ENST00000314315	
ENST00000263269	CCDS12719
ENST00000419064	
ENST00000390523	
ENST00000557436	
ENST00000514840	
ENST00000608986	
ENST00000519048	
ENST00000419703	
ENST00000427998	
ENST00000394517	
ENST00000481741	
ENST00000443635	
ENST00000643616	
ENST00000391411	CCDS45629
ENST00000637153	
ENST00000456409	
ENST00000644557	
ENST00000637938	
ENST00000607625	
ENST00000503244	
ENST00000630386	
ENST00000245457	CCDS9708
ENST00000498336	
ENST00000390524	
ENST00000628064	
ENST00000502646	
ENST00000535846	
ENST00000491173	
ENST00000625513	
ENST00000412778	
ENST00000470703	
ENST00000557965	
ENST00000644194	
ENST00000405210	
ENST00000546101	
ENST00000581528	
ENST00000535066	
ENST00000504041	
ENST00000646877	
ENST00000503910	
ENST00000579239	
ENST00000405137	
ENST00000538746	
ENST00000402364	
ENST00000283426	CCDS34124
ENST00000581610	
ENST00000390525	
ENST00000625067	
ENST00000304710	CCDS13162
ENST00000509893	
ENST00000480211	
ENST00000418820	
ENST00000399703	CCDS55311
ENST00000545422	
ENST00000417590	
ENST00000412397	
ENST00000450218	
ENST00000587928	
ENST00000370110	CCDS7519
ENST00000475234	
ENST00000523151	
ENST00000433695	
ENST00000374586	CCDS43858
ENST00000629850	
ENST00000639862	
ENST00000451054	
ENST00000524051	
ENST00000443069	
ENST00000446592	
ENST00000327835	CCDS34913
ENST00000327669	CCDS42645
ENST00000442292	
ENST00000520048	
ENST00000519490	
ENST00000357504	
ENST00000471864	
ENST00000262487	CCDS46579
ENST00000460464	
ENST00000517379	
ENST00000645432	
ENST00000575322	
ENST00000520268	
ENST00000517986	
ENST00000642958	
ENST00000507598	
ENST00000484285	
ENST00000647094	
ENST00000461026	
ENST00000472207	
ENST00000431407	
ENST00000522040	
ENST00000433681	
ENST00000506008	
ENST00000522667	
ENST00000413712	
ENST00000420044	
ENST00000454810	
ENST00000377680	
ENST00000474993	
ENST00000520336	
ENST00000517442	
ENST00000519936	
ENST00000503528	
ENST00000462391	
ENST00000624307	
ENST00000512486	
ENST00000326771	CCDS5035
ENST00000456874	CCDS54754
ENST00000513235	
ENST00000468544	
ENST00000520234	
ENST00000567428	
ENST00000416535	
ENST00000491854	
ENST00000428273	
ENST00000447582	
ENST00000541107	CCDS5035
ENST00000413592	
ENST00000451357	
ENST00000482868	
ENST00000420145	
ENST00000515852	
ENST00000513804	
ENST00000443005	
ENST00000593948	CCDS77314
ENST00000506618	CCDS47552
ENST00000504791	
ENST00000510226	
ENST00000412929	
ENST00000453238	
ENST00000638645	CCDS47552
ENST00000637760	
ENST00000586584	
ENST00000436261	
ENST00000635962	
ENST00000504949	
ENST00000418452	
ENST00000636076	
ENST00000489411	
ENST00000244217	CCDS1915
ENST00000402907	
ENST00000270077	CCDS12618
ENST00000463067	
ENST00000625242	
ENST00000415517	
ENST00000623511	
ENST00000604177	
ENST00000624447	
ENST00000459749	
ENST00000462609	
ENST00000441920	
ENST00000637322	
ENST00000445598	
ENST00000382292	CCDS9300
ENST00000506959	
ENST00000609936	
ENST00000506817	
ENST00000460693	
ENST00000455470	
ENST00000291752	CCDS77311
ENST00000494660	
ENST00000438528	CCDS6133
ENST00000456035	
ENST00000481664	
ENST00000423156	
ENST00000486135	
ENST00000450724	
ENST00000443718	CCDS77312
ENST00000637556	
ENST00000518574	
ENST00000583852	
ENST00000476776	
ENST00000380003	CCDS6522
ENST00000629517	
ENST00000580510	
ENST00000396650	CCDS10124
ENST00000582106	
ENST00000502346	CCDS34198
ENST00000609958	
ENST00000637288	
ENST00000583492	
ENST00000558435	
ENST00000584883	
ENST00000621710	
ENST00000595001	
ENST00000344119	CCDS7043
ENST00000636756	
ENST00000633909	
ENST00000463111	
ENST00000417410	CCDS6133
ENST00000488117	
ENST00000566538	
ENST00000485731	
ENST00000644136	
ENST00000633067	
ENST00000244293	
ENST00000414154	CCDS6133
ENST00000647196	
ENST00000461823	
ENST00000547288	
ENST00000602162	CCDS54312
ENST00000596730	
ENST00000377689	
ENST00000498447	
ENST00000399046	
ENST00000547493	
ENST00000472938	CCDS43913
ENST00000627595	
ENST00000344300	CCDS10124
ENST00000511450	
ENST00000621109	
ENST00000529505	
ENST00000449442	
ENST00000646920	
ENST00000319783	CCDS12855
ENST00000493135	
ENST00000511118	
ENST00000379997	CCDS6523
ENST00000628155	
ENST00000558632	
ENST00000371506	CCDS43913
ENST00000416469	CCDS6133
ENST00000502853	
ENST00000305248	
ENST00000619041	
ENST00000476099	
ENST00000379995	CCDS6523
ENST00000561451	
ENST00000490331	CCDS6133
ENST00000504622	
ENST00000509770	
ENST00000584929	
ENST00000595798	CCDS54312
ENST00000439198	
ENST00000461679	
ENST00000578467	
ENST00000522190	
ENST00000503892	
ENST00000601249	
ENST00000619707	CCDS6522
ENST00000468914	
ENST00000601643	
ENST00000517332	
ENST00000600943	
ENST00000605789	
ENST00000388747	CCDS48030
ENST00000582605	
ENST00000543629	
ENST00000598639	
ENST00000434731	
ENST00000597343	
ENST00000269389	CCDS11808
ENST00000477191	
ENST00000586795	
ENST00000485562	
ENST00000598723	
ENST00000579964	
ENST00000628174	
ENST00000640952	
ENST00000507269	
ENST00000627963	
ENST00000628325	
ENST00000627096	
ENST00000300432	CCDS6885
ENST00000580437	
ENST00000596702	
ENST00000578701	
ENST00000602046	
ENST00000581864	
ENST00000627178	
ENST00000601447	
ENST00000597566	
ENST00000442898	CCDS78375
ENST00000599798	
ENST00000627097	
ENST00000464759	
ENST00000568797	
ENST00000596776	
ENST00000581691	
ENST00000430252	
ENST00000631265	
ENST00000625467	
ENST00000642633	
ENST00000379982	CCDS4077
ENST00000399988	CCDS43927
ENST00000495448	
ENST00000582563	
ENST00000615734	
ENST00000629711	
ENST00000543227	CCDS12855
ENST00000399992	
ENST00000583093	
ENST00000540744	CCDS12855
ENST00000399987	CCDS43927
ENST00000255641	CCDS12077
ENST00000453741	CCDS54312
ENST00000512878	
ENST00000261867	CCDS10125
ENST00000557593	
ENST00000399989	CCDS43927
ENST00000582290	
ENST00000555532	
ENST00000591752	
ENST00000510623	
ENST00000559667	
ENST00000399985	CCDS43927
ENST00000581954	
ENST00000614707	
ENST00000557618	
ENST00000629092	
ENST00000502541	
ENST00000461592	
ENST00000215909	CCDS13954
ENST00000376621	CCDS4680
ENST00000409454	
ENST00000555315	
ENST00000589350	
ENST00000626480	
ENST00000396644	
ENST00000621255	
ENST00000589385	
ENST00000464120	
ENST00000603371	
ENST00000631256	
ENST00000462708	
ENST00000504179	
ENST00000641269	
ENST00000313559	
ENST00000625866	
ENST00000396645	
ENST00000489027	
ENST00000464231	
ENST00000647244	
ENST00000620326	
ENST00000495658	
ENST00000510313	
ENST00000591002	
ENST00000568669	
ENST00000429980	
ENST00000371657	CCDS58775
ENST00000437305	
ENST00000487166	
ENST00000585959	
ENST00000564594	
ENST00000507186	
ENST00000464108	
ENST00000297012	CCDS4562
ENST00000598619	
ENST00000511558	
ENST00000448740	
ENST00000498565	
ENST00000647046	
ENST00000433809	
ENST00000297267	CCDS47512
ENST00000503737	
ENST00000559553	
ENST00000265104	CCDS3882
ENST00000607094	
ENST00000425542	
ENST00000435915	
ENST00000442069	
ENST00000513091	
ENST00000618636	
ENST00000329629	
ENST00000559869	
ENST00000620666	
ENST00000614317	
ENST00000591346	
ENST00000613372	
ENST00000354698	CCDS43085
ENST00000514198	
ENST00000622412	
ENST00000645959	
ENST00000633555	
ENST00000480207	
ENST00000480856	
ENST00000427617	
ENST00000504001	
ENST00000246115	CCDS12105
ENST00000614900	
ENST00000619701	CCDS8415
ENST00000454173	
ENST00000643175	
ENST00000412564	
ENST00000512443	
ENST00000498783	
ENST00000569381	
ENST00000489315	
ENST00000421620	
ENST00000490773	
ENST00000440261	
ENST00000590106	
ENST00000524604	
ENST00000472321	
ENST00000497234	
ENST00000646046	
ENST00000448461	CCDS43085
ENST00000476624	
ENST00000615496	CCDS8415
ENST00000589861	
ENST00000558536	
ENST00000492296	
ENST00000560647	
ENST00000614692	
ENST00000508040	
ENST00000274764	CCDS4563
ENST00000560077	
ENST00000622721	CCDS8415
ENST00000624591	
ENST00000457782	
ENST00000559960	
ENST00000446979	
ENST00000428202	CCDS47236
ENST00000454212	
ENST00000615564	
ENST00000567098	
ENST00000369177	
ENST00000414458	
ENST00000556472	
ENST00000585957	
ENST00000514838	
ENST00000338635	CCDS4059
ENST00000620908	
ENST00000422679	
ENST00000448543	
ENST00000553386	
ENST00000396059	
ENST00000415284	
ENST00000585753	
ENST00000416747	
ENST00000282881	CCDS8704
ENST00000442399	
ENST00000533694	
ENST00000437798	
ENST00000452085	CCDS5107
ENST00000534402	
ENST00000441444	
ENST00000621712	
ENST00000539744	CCDS58218
ENST00000633233	
ENST00000642434	
ENST00000340446	CCDS9679
ENST00000508780	CCDS4078
ENST00000542685	
ENST00000624223	
ENST00000449314	
ENST00000396027	CCDS4058
ENST00000453463	
ENST00000225298	CCDS42362
ENST00000251808	CCDS34931
ENST00000631744	
ENST00000375006	CCDS14364
ENST00000645988	
ENST00000342228	CCDS6132
ENST00000511817	CCDS4059
ENST00000507605	
ENST00000448943	CCDS46558
ENST00000521085	
ENST00000509268	
ENST00000458174	CCDS44849
ENST00000341349	CCDS7042
ENST00000520262	CCDS6132
ENST00000646743	CCDS34931
ENST00000612363	CCDS46558
ENST00000510407	
ENST00000331677	CCDS5107
ENST00000282268	CCDS4058
ENST00000466411	
ENST00000445693	CCDS44847
ENST00000237858	CCDS4078
ENST00000325974	CCDS34597
ENST00000545676	CCDS65273
ENST00000435050	CCDS5560
ENST00000520179	CCDS6132
ENST00000617102	
ENST00000472106	
ENST00000476494	
ENST00000392815	CCDS59157
ENST00000383168	CCDS11889
ENST00000413632	CCDS44848
ENST00000632506	
ENST00000633081	
ENST00000478672	
ENST00000395927	CCDS83312
ENST00000633719	
ENST00000644252	CCDS5107
ENST00000539523	
ENST00000633703	
ENST00000508506	
ENST00000617914	
ENST00000262803	CCDS12386
ENST00000518660	
ENST00000369248	CCDS31290
ENST00000613949	
ENST00000646710	
ENST00000545543	
ENST00000583725	
ENST00000522401	
ENST00000581374	CCDS58617
ENST00000379979	CCDS4078
ENST00000634023	
ENST00000517674	
ENST00000381641	CCDS6458
ENST00000483394	
ENST00000359564	
ENST00000547774	
ENST00000632496	
ENST00000369250	CCDS44480
ENST00000321731	CCDS9746
ENST00000474338	
ENST00000549864	
ENST00000431918	CCDS5560
ENST00000524211	
ENST00000606265	
ENST00000583205	
ENST00000507412	
ENST00000632089	
ENST00000518717	
ENST00000579261	
ENST00000369246	
ENST00000340958	CCDS5560
ENST00000606712	
ENST00000538178	
ENST00000510229	
ENST00000506655	
ENST00000517366	
ENST00000505427	CCDS4078
ENST00000631796	
ENST00000540106	
ENST00000402024	
ENST00000582832	
ENST00000411414	
ENST00000633742	
ENST00000557465	
ENST00000557138	
ENST00000644499	
ENST00000510067	
ENST00000522707	
ENST00000512469	CCDS4078
ENST00000555433	
ENST00000542224	
ENST00000631994	
ENST00000474507	
ENST00000455438	
ENST00000518384	
ENST00000556228	
ENST00000632292	
ENST00000599848	CCDS74315
ENST00000555476	
ENST00000455228	
ENST00000624494	
ENST00000496860	
ENST00000447155	
ENST00000582150	
ENST00000585406	
ENST00000402326	
ENST00000632280	
ENST00000524237	
ENST00000425544	
ENST00000556799	
ENST00000605409	
ENST00000508643	
ENST00000587313	
ENST00000575820	
ENST00000523340	
ENST00000418624	
ENST00000572573	
ENST00000510798	
ENST00000555779	
ENST00000519463	
ENST00000521455	
ENST00000440832	CCDS58617
ENST00000572608	
ENST00000368608	CCDS34518
ENST00000572062	
ENST00000605144	
ENST00000589444	
ENST00000446329	CCDS47237
ENST00000595284	
ENST00000435100	
ENST00000614686	
ENST00000503521	
ENST00000328278	CCDS47184
ENST00000503835	
ENST00000601981	
ENST00000391700	
ENST00000374992	
ENST00000590715	
ENST00000357564	
ENST00000368606	CCDS64506
ENST00000594504	
ENST00000327720	CCDS9747
ENST00000563761	
ENST00000389262	
ENST00000504862	
ENST00000605671	
ENST00000562162	
ENST00000566940	
ENST00000583022	
ENST00000515285	
ENST00000584088	
ENST00000628813	
ENST00000282326	CCDS12969
ENST00000502826	
ENST00000322353	
ENST00000575066	
ENST00000310169	CCDS3459
ENST00000440975	
ENST00000370377	CCDS35427
ENST00000578776	
ENST00000600012	
ENST00000368605	CCDS34519
ENST00000340135	
ENST00000601162	
ENST00000371674	CCDS33483
ENST00000600868	
ENST00000502377	
ENST00000534640	
ENST00000598209	
ENST00000597330	
ENST00000511310	
ENST00000368604	
ENST00000383170	
ENST00000509518	
ENST00000616549	
ENST00000600310	
ENST00000620414	
ENST00000565521	
ENST00000598471	
ENST00000506164	
ENST00000510879	
ENST00000340309	CCDS13426
ENST00000527059	
ENST00000556405	
ENST00000355149	CCDS14697
ENST00000579458	
ENST00000635764	
ENST00000623626	
ENST00000515377	
ENST00000601689	
ENST00000583051	
ENST00000624030	
ENST00000415862	CCDS13427
ENST00000594243	
ENST00000553480	
ENST00000512125	
ENST00000508467	
ENST00000506519	
ENST00000466436	CCDS14698
ENST00000507421	
ENST00000371677	CCDS13426
ENST00000217188	CCDS13525
ENST00000263382	CCDS12306
ENST00000554389	
ENST00000596842	
ENST00000453464	CCDS53257
ENST00000555741	
ENST00000296824	CCDS3852
ENST00000483534	
ENST00000592798	
ENST00000337714	CCDS11594
ENST00000600689	
ENST00000634795	
ENST00000557196	
ENST00000441693	
ENST00000492371	
ENST00000418547	
ENST00000590835	
ENST00000436994	
ENST00000424456	
ENST00000491877	
ENST00000614150	
ENST00000617605	
ENST00000589468	
ENST00000416477	
ENST00000617939	
ENST00000443417	
ENST00000571629	CCDS11594
ENST00000474890	
ENST00000620817	
ENST00000633581	
ENST00000421995	
ENST00000478287	
ENST00000618273	
ENST00000631728	
ENST00000570423	
ENST00000257627	CCDS5653
ENST00000613030	CCDS76044
ENST00000297866	CCDS14237
ENST00000437787	CCDS55527
ENST00000580257	
ENST00000575186	
ENST00000453566	
ENST00000631573	
ENST00000473987	
ENST00000573085	
ENST00000308911	
ENST00000430535	
ENST00000393490	
ENST00000416739	
ENST00000572814	
ENST00000594555	
ENST00000610598	CCDS76032
ENST00000572530	
ENST00000565300	
ENST00000632867	
ENST00000380833	CCDS14137
ENST00000575325	
ENST00000562852	
ENST00000604448	
ENST00000633158	
ENST00000607574	
ENST00000604449	
ENST00000380829	
ENST00000620885	CCDS76032
ENST00000405102	
ENST00000454850	
ENST00000512921	
ENST00000631391	
ENST00000566754	
ENST00000631672	
ENST00000560305	
ENST00000631454	
ENST00000421085	CCDS59159
ENST00000632449	
ENST00000559153	CCDS10060
ENST00000510415	
ENST00000507794	
ENST00000427057	CCDS66281
ENST00000631575	
ENST00000508806	
ENST00000561011	CCDS73706
ENST00000611257	CCDS42300
ENST00000633912	
ENST00000564130	
ENST00000297873	CCDS5561
ENST00000633512	
ENST00000515244	
ENST00000486653	
ENST00000603918	
ENST00000559291	CCDS10060
ENST00000490555	
ENST00000622280	
ENST00000559911	
ENST00000558113	
ENST00000616006	
ENST00000458679	
ENST00000358005	CCDS10060
ENST00000458162	
ENST00000493174	
ENST00000493090	
ENST00000618297	
ENST00000228820	CCDS8523
ENST00000610580	
ENST00000376447	CCDS6662
ENST00000416810	CCDS10060
ENST00000467839	
ENST00000472923	
ENST00000506538	CCDS4102
ENST00000568866	
ENST00000563247	
ENST00000301729	CCDS10464
ENST00000476985	
ENST00000432266	
ENST00000616570	
ENST00000574683	
ENST00000340717	
ENST00000619603	
ENST00000513710	
ENST00000470565	
ENST00000453942	
ENST00000490289	
ENST00000572557	CCDS11594
ENST00000599916	
ENST00000555157	
ENST00000620669	
ENST00000450737	
ENST00000579413	
ENST00000461960	
ENST00000568584	CCDS7051
ENST00000309863	CCDS33268
ENST00000462217	
ENST00000264864	CCDS3433
ENST00000447133	CCDS66281
ENST00000558750	CCDS42022
ENST00000473860	
ENST00000561967	
ENST00000584918	
ENST00000601773	
ENST00000467566	
ENST00000468926	
ENST00000286890	CCDS13163
ENST00000237841	
ENST00000481416	
ENST00000397126	CCDS54240
ENST00000558918	
ENST00000581948	
ENST00000562809	
ENST00000537149	
ENST00000478207	
ENST00000539273	CCDS11594
ENST00000378653	CCDS83464
ENST00000263196	CCDS33598
ENST00000559103	
ENST00000409821	
ENST00000545357	
ENST00000562238	CCDS58410
ENST00000599723	
ENST00000545163	
ENST00000576591	
ENST00000368648	CCDS31314
ENST00000430731	
ENST00000417077	
ENST00000567466	
ENST00000558871	
ENST00000493930	
ENST00000597040	
ENST00000572156	
ENST00000601993	
ENST00000560109	
ENST00000563456	
ENST00000409926	
ENST00000467659	
ENST00000576295	
ENST00000493862	
ENST00000560535	
ENST00000609966	
ENST00000608548	
ENST00000438600	
ENST00000573326	
ENST00000325192	CCDS32069
ENST00000625629	
ENST00000570258	
ENST00000633827	
ENST00000509895	
ENST00000601468	
ENST00000473832	
ENST00000355311	
ENST00000575032	
ENST00000456260	
ENST00000624863	
ENST00000557112	
ENST00000451657	CCDS77733
ENST00000566379	
ENST00000561460	
ENST00000632165	
ENST00000572560	
ENST00000561039	
ENST00000625172	CCDS74740
ENST00000440978	
ENST00000563447	
ENST00000579973	CCDS11888
ENST00000621116	CCDS11594
ENST00000555826	
ENST00000557021	CCDS74740
ENST00000563029	
ENST00000405415	CCDS34598
ENST00000553841	
ENST00000537045	CCDS54496
ENST00000617119	CCDS74740
ENST00000561688	
ENST00000395224	CCDS10670
ENST00000314126	
ENST00000565709	
ENST00000420027	
ENST00000408011	CCDS11888
ENST00000576014	
ENST00000278765	CCDS13163
ENST00000505303	
ENST00000378660	
ENST00000567664	
ENST00000633603	
ENST00000404406	CCDS34598
ENST00000446478	
ENST00000419808	
ENST00000630521	
ENST00000383763	CCDS43060
ENST00000482325	
ENST00000335694	CCDS13163
ENST00000553607	
ENST00000382496	CCDS3875
ENST00000313548	
ENST00000438432	
ENST00000409896	
ENST00000444406	
ENST00000515784	
ENST00000419621	
ENST00000633342	
ENST00000436899	
ENST00000485546	
ENST00000446492	
ENST00000545799	
ENST00000504122	
ENST00000406017	
ENST00000607985	
ENST00000609663	
ENST00000462897	
ENST00000612402	CCDS4102
ENST00000279386	CCDS10670
ENST00000580059	
ENST00000633915	
ENST00000609237	
ENST00000514923	
ENST00000406683	
ENST00000492785	
ENST00000513968	
ENST00000442551	
ENST00000412461	
ENST00000577255	
ENST00000594219	
ENST00000627355	
ENST00000447558	
ENST00000632366	
ENST00000599018	
ENST00000509486	
ENST00000580191	
ENST00000446318	
ENST00000599417	
ENST00000595061	
ENST00000393321	
ENST00000571755	
ENST00000608471	
ENST00000430144	
ENST00000582494	
ENST00000633269	
ENST00000615163	
ENST00000374473	
ENST00000481729	
ENST00000580638	
ENST00000597450	
ENST00000480863	
ENST00000438329	CCDS13955
ENST00000276066	CCDS35322
ENST00000448546	
ENST00000625389	
ENST00000578973	
ENST00000613964	
ENST00000627657	
ENST00000584630	
ENST00000632443	
ENST00000628710	
ENST00000359114	CCDS13955
ENST00000598565	
ENST00000632147	
ENST00000420978	
ENST00000399447	
ENST00000417602	CCDS11888
ENST00000593462	
ENST00000474032	
ENST00000535708	
ENST00000317932	CCDS11888
ENST00000594735	
ENST00000593405	
ENST00000584560	
ENST00000601196	
ENST00000468597	
ENST00000595624	
ENST00000484650	
ENST00000601586	
ENST00000330953	CCDS2656
ENST00000296358	CCDS3372
ENST00000344895	CCDS4101
ENST00000611660	CCDS76033
ENST00000629483	
ENST00000611699	CCDS13955
ENST00000613688	
ENST00000631306	
ENST00000239316	CCDS6459
ENST00000315588	CCDS33021
ENST00000596410	
ENST00000414397	
ENST00000379706	
ENST00000643011	
ENST00000308159	CCDS10769
ENST00000599279	
ENST00000444649	
ENST00000439904	
ENST00000563858	
ENST00000627442	
ENST00000611438	CCDS76033
ENST00000315765	CCDS44710
ENST00000265734	CCDS5628
ENST00000341698	CCDS13424
ENST00000566315	
ENST00000535104	
ENST00000641883	
ENST00000600973	
ENST00000383467	CCDS42409
ENST00000569842	
ENST00000618847	CCDS42422
ENST00000541997	
ENST00000331162	CCDS43590
ENST00000594368	
ENST00000467166	
ENST00000477641	
ENST00000433254	
ENST00000599213	
ENST00000623672	
ENST00000539630	
ENST00000424848	CCDS5628
ENST00000581714	CCDS42422
ENST00000319636	CCDS43590
ENST00000542644	
ENST00000602356	
ENST00000370873	CCDS13489
ENST00000580774	CCDS58618
ENST00000473078	
ENST00000602303	
ENST00000455618	
ENST00000254742	CCDS3373
ENST00000620639	
ENST00000491250	
ENST00000620704	CCDS76034
ENST00000602959	CCDS2282
ENST00000588332	
ENST00000337579	CCDS34598
ENST00000435695	
ENST00000382753	CCDS75099
ENST00000602479	
ENST00000452050	
ENST00000596297	
ENST00000604569	CCDS76034
ENST00000424523	
ENST00000602291	
ENST00000641935	
ENST00000419668	
ENST00000342291	CCDS12721
ENST00000615911	CCDS33021
ENST00000609923	CCDS7280
ENST00000427097	
ENST00000377905	CCDS4564
ENST00000539903	
ENST00000484488	
ENST00000234454	CCDS1920
ENST00000253381	CCDS13177
ENST00000370861	
ENST00000391884	CCDS12721
ENST00000442565	
ENST00000428598	
ENST00000498749	
ENST00000486193	
ENST00000611242	
ENST00000370858	
ENST00000265870	
ENST00000439485	CCDS75411
ENST00000611668	CCDS76035
ENST00000556397	
ENST00000493963	
ENST00000554815	
ENST00000633761	
ENST00000623146	
ENST00000584346	
ENST00000557528	
ENST00000581724	
ENST00000632258	
ENST00000608053	
ENST00000617981	CCDS76035
ENST00000625078	
ENST00000632001	
ENST00000410062	CCDS2282
ENST00000474927	
ENST00000632188	
ENST00000397076	
ENST00000491102	
ENST00000583470	
ENST00000602475	
ENST00000582937	
ENST00000625196	
ENST00000620766	
ENST00000501726	
ENST00000602499	
ENST00000502027	
ENST00000583895	
ENST00000613170	
ENST00000588799	
ENST00000602710	CCDS2282
ENST00000580412	
ENST00000476591	
ENST00000588945	
ENST00000620224	
ENST00000483016	
ENST00000488112	
ENST00000371652	CCDS13428
ENST00000327876	CCDS1835
ENST00000602762	
ENST00000371650	CCDS54473
ENST00000359978	CCDS54330
ENST00000493527	
ENST00000602632	
ENST00000615837	
ENST00000481964	
ENST00000435331	
ENST00000259351	CCDS35143
ENST00000371656	
ENST00000439182	
ENST00000602888	
ENST00000373803	
ENST00000401053	CCDS54329
ENST00000602837	
ENST00000421967	CCDS2763
ENST00000623586	
ENST00000439501	
ENST00000602970	
ENST00000359675	CCDS13284
ENST00000394022	
ENST00000643457	CCDS77734
ENST00000626612	
ENST00000606514	CCDS69219
ENST00000482967	
ENST00000623392	
ENST00000392415	CCDS2282
ENST00000453505	
ENST00000371658	
ENST00000594133	
ENST00000428080	
ENST00000410022	CCDS33217
ENST00000452211	CCDS77734
ENST00000620290	
ENST00000349004	CCDS13285
ENST00000627318	
ENST00000313434	CCDS74471
ENST00000456814	
ENST00000359941	
ENST00000619608	
ENST00000425038	
ENST00000642710	
ENST00000645995	
ENST00000423928	
ENST00000414750	
ENST00000626157	
ENST00000444069	
ENST00000511556	CCDS12970
ENST00000373439	
ENST00000626382	
ENST00000567574	
ENST00000416560	
ENST00000642559	
ENST00000631290	
ENST00000442797	
ENST00000610568	
ENST00000237283	CCDS43511
ENST00000415644	CCDS82768
ENST00000610086	
ENST00000424170	
ENST00000425739	
ENST00000394011	
