enst_id	final_uniprot_id
ENST00000023939	Q9BY42
ENST00000024061	Q5BKX6-3
ENST00000025008	Q8TDY2
ENST00000025301	Q9UKA4
ENST00000025399	Q9Y3F4-2
ENST00000025469	Q53GL0-2
ENST00000026218	Q9BRB3
ENST00000027335	Q12864
ENST00000028008	
ENST00000029410	Q9UBV7
ENST00000031135	
ENST00000031146	
ENST00000033079	Q9NYF5
ENST00000034275	Q9H6Z4-3
ENST00000035307	Q9P2E5
ENST00000035383	Q96NW7
ENST00000037243	P60520
ENST00000037502	Q99972
ENST00000037869	Q96C01
ENST00000038176	Q92636
ENST00000039007	P00480
ENST00000039989	Q96AE7
ENST00000040584	P31273
ENST00000040663	Q9BV20
ENST00000040738	Q8NFC6
ENST00000040877	Q13395
ENST00000042381	Q6ZS17-2
ENST00000042931	Q8NFU1
ENST00000043402	Q9BZR6
ENST00000044462	P25789
ENST00000045083	Q96MK2
ENST00000045347	Q9P0W8-3
ENST00000046087	Q9BS86
ENST00000046640	O60931
ENST00000046794	Q13094
ENST00000050961	
ENST00000052569	Q9HD26-2
ENST00000052754	P07585
ENST00000053243	Q02223
ENST00000053468	P82664
ENST00000053469	P43080
ENST00000053867	P28799
ENST00000054650	Q8WTV1
ENST00000054666	Q15836
ENST00000054668	O95399-2
ENST00000054950	Q15293
ENST00000055077	P35250
ENST00000055335	Q6ZSY5
ENST00000055682	Q5QGS0
ENST00000056217	Q12774
ENST00000056233	Q9Y4A8
ENST00000057513	Q96KP6
ENST00000060969	Q9BRV8
ENST00000061240	O43897
ENST00000062104	Q16517
ENST00000064571	Q9NTU7
ENST00000064724	O75508
ENST00000064778	Q92567
ENST00000064780	Q969Z4
ENST00000066544	P30260
ENST00000070846	Q99959
ENST00000072516	Q9NPH3
ENST00000072644	Q9Y548
ENST00000072869	Q7Z695
ENST00000074304	Q96PE3
ENST00000075120	P11169
ENST00000075322	Q13822
ENST00000075430	Q9Y5B0-4
ENST00000075503	Q6J9G0
ENST00000078429	P29992
ENST00000078445	Q68CJ9
ENST00000078527	Q9NUD9
ENST00000080059	Q8WUI4-5
ENST00000081029	P82673
ENST00000082259	Q9P225-3
ENST00000082468	
ENST00000083182	Q92624
ENST00000084795	
ENST00000084798	O75493
ENST00000085068	Q96AB3-2
ENST00000085079	Q9Y6I3-3
ENST00000085219	P20273
ENST00000086933	O15499
ENST00000155093	P08048
ENST00000155674	Q9BXW7-2
ENST00000155840	P51787
ENST00000155858	Q9NZQ8
ENST00000155926	Q92519
ENST00000156084	Q96G74
ENST00000156109	Q92917
ENST00000156471	O60306
ENST00000156476	
ENST00000156499	Q9P0G3
ENST00000156626	Q9NSC7
ENST00000156825	O95983
ENST00000157600	Q9NZU5
ENST00000157812	P43686
ENST00000158009	Q8TC99
ENST00000158149	Q53F19-2
ENST00000158166	Q8N5S9-2
ENST00000158526	
ENST00000158762	Q15027
ENST00000158771	Q9GZP9
ENST00000159060	Q9HBY0
ENST00000159087	Q9HCE9
ENST00000159111	O94953
ENST00000159647	Q96RD6-1
ENST00000160262	P32942
ENST00000160298	Q9P1Y5
ENST00000160373	Q8WZ74
ENST00000160382	O94805
ENST00000160713	
ENST00000160740	
ENST00000160827	Q14807
ENST00000161006	Q9GZN4
ENST00000161559	P13688
ENST00000161863	Q9H6S0
ENST00000162023	Q02080-2
ENST00000162044	Q9NX61
ENST00000162330	P56945
ENST00000162391	Q9P0K8
ENST00000162749	P19438
ENST00000162863	
ENST00000163416	Q8TBA6
ENST00000163678	Q9BUU2-2
ENST00000164024	Q9NYQ7
ENST00000164133	Q15173
ENST00000164139	P11217
ENST00000164227	P20749
ENST00000164247	Q13303
ENST00000164305	Q92521
ENST00000164640	Q76G19
ENST00000165086	
ENST00000165524	P81277
ENST00000165698	Q9H902
ENST00000166133	
ENST00000166139	O95633
ENST00000166244	P29322
ENST00000166345	Q15645
ENST00000166534	O15460
ENST00000167106	Q7L8A9
ENST00000167218	
ENST00000167462	Q6P1M3-2
ENST00000167586	P02533
ENST00000167588	P35900
ENST00000167825	Q9HCE6-4
ENST00000168148	Q13103
ENST00000168216	Q99714
ENST00000168712	P08620
ENST00000168869	
ENST00000168977	Q9NPI5
ENST00000169293	P48740-3
ENST00000169298	P15907
ENST00000169551	Q9BVV7
ENST00000169565	
ENST00000170150	Q8N4F0
ENST00000170168	Q8N1G1
ENST00000170447	Q9H000
ENST00000170564	Q9BRR8
ENST00000170630	P24394
ENST00000171000	O95398-3
ENST00000171111	Q14145
ENST00000171214	Q9NYR8
ENST00000171757	O00398
ENST00000171887	Q9HBL0
ENST00000172229	P08138
ENST00000172853	P20929
ENST00000173229	O95631
ENST00000173527	Q96CN7
ENST00000173785	
ENST00000173898	Q12816
ENST00000174618	Q99583
ENST00000174621	Q8NER1-3
ENST00000174653	P53677
ENST00000175091	Q15012
ENST00000175238	Q9H2U9
ENST00000175506	P08243
ENST00000175756	Q99952
ENST00000176183	P21917
ENST00000176195	P09683
ENST00000176643	P51648
ENST00000176763	O94804
ENST00000177648	Q96QP1
ENST00000177694	Q9UL17
ENST00000177742	
ENST00000178638	O43570
ENST00000178640	Q13163
ENST00000179259	Q9NQ88
ENST00000179765	
ENST00000179882	
ENST00000180166	Q9NP95
ENST00000180173	Q9Y216
ENST00000181383	Q96IY4
ENST00000181796	Q9H098-2
ENST00000181839	Q14004
ENST00000182096	Q68DQ2-1
ENST00000182290	Q96QS1
ENST00000182377	Q96K12
ENST00000182527	Q15035
ENST00000183605	P56856
ENST00000184183	Q9HAT0
ENST00000184266	O95168
ENST00000184956	Q6AI08
ENST00000185150	Q96DZ1
ENST00000185206	Q9NZA1
ENST00000185907	P0C7U1-2
ENST00000186436	Q92545
ENST00000187397	Q9UBL0
ENST00000187608	Q3KPI0-2
ENST00000187762	Q9H6F2
ENST00000187830	
ENST00000187879	Q9UK12
ENST00000187910	Q00889-2
ENST00000188312	Q9GZN1
ENST00000188376	Q00325-2
ENST00000188403	Q96RI1-4
ENST00000188790	Q12884
ENST00000189444	Q00653-4
ENST00000189978	
ENST00000190165	Q9NQL9
ENST00000190611	Q9BZF3
ENST00000190983	O76076
ENST00000191018	P10619
ENST00000191063	Q6P6B7-2
ENST00000192314	Q9H3Q3
ENST00000192788	Q6BDS2
ENST00000193029	Q9UQ07-4
ENST00000193322	Q86WC4
ENST00000193391	Q9BZV3
ENST00000193403	P12814
ENST00000194097	Q13075
ENST00000194118	Q14154
ENST00000194130	Q9BZW2
ENST00000194152	Q9Y5E5
ENST00000194155	Q9Y5E7
ENST00000194214	Q9Y547
ENST00000194530	Q9C0K7
ENST00000194672	
ENST00000194871	
ENST00000194900	
ENST00000195173	Q9P283-2
ENST00000195455	Q99440
ENST00000195649	
ENST00000196061	Q02809
ENST00000196169	Q9H7E2
ENST00000196371	P55809
ENST00000196482	O75467
ENST00000196489	Q9BWM5
ENST00000196548	P17098
ENST00000196551	P46782
ENST00000197268	A2RU67
ENST00000198536	Q9UKJ1
ENST00000198765	O75131
ENST00000198767	Q9NYV6
ENST00000198801	Q3SYC2
ENST00000198939	
ENST00000199280	P41181
ENST00000199320	Q9UNQ2
ENST00000199389	Q9BQI3
ENST00000199447	Q8N427
ENST00000199448	Q9UM22
ENST00000199706	Q13084
ENST00000199708	P09105
ENST00000199764	P40199
ENST00000199814	Q9NW64
ENST00000199936	P37059
ENST00000199940	P11137-4
ENST00000200135	O43264
ENST00000200181	P16144
ENST00000200307	
ENST00000200453	O75807
ENST00000200457	Q15654
ENST00000200557	O75078
ENST00000200639	P13473
ENST00000200652	Q9H015
ENST00000200676	P11597
ENST00000200691	P25713
ENST00000201015	P12272-2
ENST00000201031	Q92754
ENST00000201586	O00204
ENST00000201647	Q8TE68
ENST00000201943	O00305-4
ENST00000201961	
ENST00000201963	Q9UBC3-6
ENST00000201979	O75628
ENST00000202017	Q9NUG6
ENST00000202028	Q9H4G0-2
ENST00000202556	Q96KQ4
ENST00000202578	Q9BZZ2-3
ENST00000202625	O95932
ENST00000202677	Q2PPJ7
ENST00000202773	Q02878
ENST00000202816	Q9H501
ENST00000202831	Q6J4K2
ENST00000202834	Q96A57
ENST00000202917	P00973
ENST00000202967	Q9Y6E7
ENST00000203001	Q9UJA5
ENST00000203166	O94927
ENST00000203407	P31930
ENST00000203556	Q9P107
ENST00000203616	Q96IZ5-3
ENST00000203629	P18627
ENST00000203630	Q15773
ENST00000203664	Q96DC9
ENST00000204005	
ENST00000204307	
ENST00000204517	Q01664
ENST00000204549	Q8N8D1
ENST00000204566	Q9NZD8
ENST00000204604	Q9H2X0
ENST00000204615	P40225
ENST00000204637	P49771-3
ENST00000204679	Q9UJJ9
ENST00000204726	Q08378
ENST00000204801	Q9NNX6-7
ENST00000204961	P98172
ENST00000205061	Q92896-2
ENST00000205135	
ENST00000205143	Q9NYJ7
ENST00000205194	Q8WUY8
ENST00000205214	Q4L235
ENST00000205386	A4D0S4
ENST00000205402	P09622
ENST00000205557	O95255
ENST00000205636	Q9NX76
ENST00000205890	Q9UKN7
ENST00000205948	P02749
ENST00000206020	O75391
ENST00000206249	P03372
ENST00000206262	Q9UGC6
ENST00000206380	Q96IK0
ENST00000206423	Q76M96
ENST00000206446	P23946-2
ENST00000206451	Q06323
ENST00000206474	Q9H6D7
ENST00000206513	Q15744
ENST00000206542	Q9NPF4
ENST00000206544	Q8WUG5
ENST00000206595	Q7L622
ENST00000206660	
ENST00000206765	P22735
ENST00000207157	Q96SF7-2
ENST00000207437	P14649
ENST00000207457	Q9UIF3
ENST00000207549	Q70J99
ENST00000207636	
ENST00000207726	Q7RTP6-3
ENST00000207771	
ENST00000207870	O75191
ENST00000209540	O60431
ENST00000209665	P40394
ENST00000209668	P07327
ENST00000209718	Q9C075
ENST00000209728	Q99741
ENST00000209873	Q9NRG9
ENST00000209875	P45973
ENST00000209884	Q9Y2M5
ENST00000209929	
ENST00000210060	P49366
ENST00000210187	Q9ULW5
ENST00000210227	
ENST00000210313	Q16401
ENST00000210444	Q9NR45
ENST00000210633	Q9NTN9-2
ENST00000211076	Q9BZJ3
ENST00000211122	Q16772
ENST00000211287	O15264
ENST00000211314	Q9Y6G1
ENST00000211372	P62269
ENST00000211377	O95872
ENST00000211379	P46379-2
ENST00000211402	P26640
ENST00000211413	Q99946
ENST00000211921	
ENST00000211936	Q99676
ENST00000211998	P18206
ENST00000212015	Q96EB6
ENST00000212355	Q03167
ENST00000214869	Q13445
ENST00000214893	
ENST00000215057	P28698
ENST00000215061	Q9H607
ENST00000215069	
ENST00000215071	P48556
ENST00000215095	P61266
ENST00000215115	Q8WUZ0
ENST00000215368	O43921
ENST00000215375	P30049
ENST00000215376	
ENST00000215473	
ENST00000215479	Q99218-1
ENST00000215530	Q9HCT0
ENST00000215531	O75264
ENST00000215539	P35858
ENST00000215555	Q9P0N8
ENST00000215565	P17568
ENST00000215567	Q9NZ01
ENST00000215570	Q9Y5L4
ENST00000215574	P49427
ENST00000215582	Q8IVT2
ENST00000215587	P19388
ENST00000215631	O75293
ENST00000215637	Q13477
ENST00000215659	P53778
ENST00000215727	P05546
ENST00000215730	O95721
ENST00000215739	Q8N653
ENST00000215742	Q9BT49
ENST00000215743	P24347
ENST00000215754	P14174
ENST00000215770	A6NHG4
ENST00000215780	P0CG29
ENST00000215781	P13725
ENST00000215790	Q9BXI6
ENST00000215793	Q15459
ENST00000215794	Q9UMW8
ENST00000215798	
ENST00000215812	Q9UDX4
ENST00000215829	P62318
ENST00000215832	P28482
ENST00000215838	P20062
ENST00000215855	P26998
ENST00000215862	Q9Y6X9-2
ENST00000215882	P53007
ENST00000215885	Q9NZ20
ENST00000215886	P05162
ENST00000215904	Q96GD0
ENST00000215906	Q6ICH7
ENST00000215909	P09382
ENST00000215912	Q96FE7
ENST00000215917	Q9UH36
ENST00000215919	Q9HBE1-4
ENST00000215939	P53674
ENST00000215941	Q6NXT1
ENST00000215956	P55769
ENST00000215957	Q8N3F8
ENST00000215980	Q9NSP4
ENST00000216014	O43731
ENST00000216019	
ENST00000216024	Q14565
ENST00000216027	Q8IWL3
ENST00000216029	Q9Y3M2
ENST00000216034	Q9NS69
ENST00000216036	Q9UHP6
ENST00000216037	P17861
ENST00000216038	Q9Y3I0
ENST00000216039	Q15040
ENST00000216044	O00178
ENST00000216061	O75170
ENST00000216064	Q9UH99
ENST00000216068	O96015
ENST00000216071	O95567
ENST00000216075	Q9UGB7
ENST00000216080	Q9BU23-2
ENST00000216083	
ENST00000216085	Q9Y3P4
ENST00000216099	Q96AK3
ENST00000216101	Q92737
ENST00000216106	Q9UGU5
ENST00000216115	Q13323
ENST00000216117	P09601
ENST00000216121	Q9BPW8
ENST00000216122	P33992
ENST00000216124	
ENST00000216127	Q96D21
ENST00000216129	Q14166
ENST00000216133	O95931
ENST00000216139	P10323
ENST00000216144	Q86V35
ENST00000216146	P39023
ENST00000216155	
ENST00000216160	Q15750
ENST00000216177	Q7Z6Z6
ENST00000216180	Q9NST1
ENST00000216181	P35579
ENST00000216185	Q99757
ENST00000216187	Q8IWF2
ENST00000216190	O15371
ENST00000216194	P30566
ENST00000216200	P20472
ENST00000216211	O75631
ENST00000216214	Q9NWS6
ENST00000216218	P50502
ENST00000216223	P14784
ENST00000216225	P62877
ENST00000216237	Q969R5
ENST00000216241	Q6NUI6
ENST00000216252	Q7RTV0
ENST00000216254	Q99798
ENST00000216259	Q92871
ENST00000216264	Q8TCT0
ENST00000216267	O95696
ENST00000216268	O75132
ENST00000216271	Q969S8
ENST00000216274	Q9Y572
ENST00000216277	P51003
ENST00000216281	P07900
ENST00000216286	Q14112
ENST00000216288	P27448-6
ENST00000216294	Q16533
ENST00000216297	Q9Y5B9
ENST00000216327	
ENST00000216330	Q00688
ENST00000216336	P08311
ENST00000216338	P20718
ENST00000216341	P10144
ENST00000216350	O14744-3
ENST00000216361	O43405
ENST00000216366	Q9Y587-2
ENST00000216367	P56282
ENST00000216373	Q07890
ENST00000216378	Q00532-3
ENST00000216392	P06737
ENST00000216407	
ENST00000216410	Q96EK6
ENST00000216414	
ENST00000216416	O95406
ENST00000216420	Q99675
ENST00000216442	Q9Y5K8
ENST00000216445	Q9NVL8
ENST00000216446	Q9NYT0
ENST00000216450	
ENST00000216452	Q14442
ENST00000216453	
ENST00000216455	P25788
ENST00000216456	
ENST00000216463	
ENST00000216465	
ENST00000216468	Q6PL24
ENST00000216471	Q9P1V8
ENST00000216479	O95433
ENST00000216481	Q6H9L7-4
ENST00000216484	O15270
ENST00000216487	Q8TB24
ENST00000216489	Q13686
ENST00000216492	P10645
ENST00000216500	Q9Y394
ENST00000216513	Q9UIU6
ENST00000216517	Q6ZU80-3
ENST00000216520	
ENST00000216540	Q14973
ENST00000216554	P55010
ENST00000216568	P57103-5
ENST00000216602	Q9BQ24-2
ENST00000216605	P11586
ENST00000216629	P46663
ENST00000216639	Q99986
ENST00000216658	
ENST00000216714	P27695
ENST00000216727	Q86U42
ENST00000216733	O43281
ENST00000216743	
ENST00000216756	Q9BW66
ENST00000216774	P61011
ENST00000216775	O95741
ENST00000216780	Q16822
ENST00000216797	P25963
ENST00000216799	Q9Y3B6
ENST00000216802	Q9UL46
ENST00000216807	Q5PSV4
ENST00000216832	Q9H307
ENST00000216840	Q92696
ENST00000216862	Q07973
ENST00000216877	P18433-6
ENST00000216879	Q9UNZ2
ENST00000216923	Q9NTW7-5
ENST00000216927	Q9P1W8-4
ENST00000216951	P48637
ENST00000216962	P11216
ENST00000216968	Q9UNN8
ENST00000217026	P10244
ENST00000217043	Q9H3Y0
ENST00000217073	Q4VXU2
ENST00000217074	Q4VXU2-2
ENST00000217075	
ENST00000217086	Q9UJQ4
ENST00000217109	Q05048
ENST00000217121	O43399-7
ENST00000217130	Q96KM6
ENST00000217131	Q9UBR2
ENST00000217133	Q9H4B7
ENST00000217159	Q96BD0
ENST00000217162	
ENST00000217169	Q96CA5
ENST00000217173	O94941
ENST00000217182	Q05639
ENST00000217185	Q13882
ENST00000217188	Q9H3Y6
ENST00000217195	Q9GZN8-2
ENST00000217224	
ENST00000217233	Q96RU7
ENST00000217244	P68400
ENST00000217246	A1Z1Q3
ENST00000217254	Q9NQ40
ENST00000217260	Q2I0M5
ENST00000217270	Q8NFJ6
ENST00000217289	Q9BQL6
ENST00000217305	P01213
ENST00000217315	
ENST00000217320	A0PJX2
ENST00000217333	
ENST00000217381	Q13424
ENST00000217386	P01178
ENST00000217398	
ENST00000217402	Q9H444
ENST00000217407	P18428
ENST00000217420	Q9H598
ENST00000217423	P01036
ENST00000217425	Q14508-5
ENST00000217426	P23526
ENST00000217428	P49223
ENST00000217429	
ENST00000217446	Q9H490
ENST00000217455	O14734
ENST00000217456	Q9HDC9
ENST00000217515	O43396
ENST00000217652	P19105
ENST00000217740	Q96EQ8
ENST00000217800	
ENST00000217885	Q9Y5S8-3
ENST00000217890	
ENST00000217893	Q16594
ENST00000217901	P51553
ENST00000217905	
ENST00000217909	Q8WUT9
ENST00000217926	Q7Z2G1
ENST00000217939	Q9NR99
ENST00000217957	Q86XK7
ENST00000217958	O75832
ENST00000217961	P08842
ENST00000217964	O60907
ENST00000217971	O00264
ENST00000217999	Q8NHV9
ENST00000218004	Q9NPJ8-3
ENST00000218006	P51841
ENST00000218008	Q9UN42
ENST00000218032	Q9NR97
ENST00000218054	Q9BU40
ENST00000218056	Q9H1Z4
ENST00000218068	O60829
ENST00000218075	P23416
ENST00000218089	Q8N3U4-2
ENST00000218099	P00740
ENST00000218104	P33897
ENST00000218147	Q5H9F3
ENST00000218176	Q9NSA2
ENST00000218197	O95258
ENST00000218200	Q06787-9
ENST00000218224	O60828
ENST00000218230	Q9UHG2
ENST00000218249	P0C0E4
ENST00000218316	Q13585
ENST00000218328	
ENST00000218340	O75695
ENST00000218343	Q92613
ENST00000218348	P51784
ENST00000218364	O43719
ENST00000218388	P01033
ENST00000218432	
ENST00000218436	Q6UXX5
ENST00000218439	Q9UNF1
ENST00000218507	
ENST00000218516	P06280
ENST00000218548	P54707-2
ENST00000218652	Q9NV92
ENST00000218721	O43193
ENST00000218758	P13686
ENST00000218789	
ENST00000218867	Q13326
ENST00000218981	A0PJE2-2
ENST00000219022	Q6UX06
ENST00000219054	Q08AH3
ENST00000219066	P78549
ENST00000219069	O14978
ENST00000219070	P08253
ENST00000219084	
ENST00000219091	O95201
ENST00000219097	Q9Y5N6
ENST00000219139	Q9BSU1
ENST00000219150	P31146
ENST00000219151	
ENST00000219162	P47944
ENST00000219168	O43325
ENST00000219169	P61970
ENST00000219172	Q96BT3
ENST00000219197	P23435
ENST00000219204	Q9Y2Y0
ENST00000219207	Q9Y342
ENST00000219235	O00626
ENST00000219240	Q02127
ENST00000219244	Q92583
ENST00000219251	
ENST00000219252	P19387
ENST00000219255	Q9NPB6
ENST00000219271	P51511
ENST00000219281	Q9BQ65
ENST00000219299	Q9H0I3
ENST00000219301	Q6PEW0
ENST00000219302	Q13232
ENST00000219313	P51665
ENST00000219315	Q8TBK2
ENST00000219320	Q9NVC3
ENST00000219322	O00219-2
ENST00000219334	Q9NY59
ENST00000219343	Q92536
ENST00000219345	Q8NCC3
ENST00000219368	Q7L5A8
ENST00000219400	Q9NRP2
ENST00000219406	Q13087
ENST00000219409	Q99819
ENST00000219431	P29372
ENST00000219439	Q3SXM5
ENST00000219454	Q9HC57
ENST00000219473	Q14694
ENST00000219476	P49815
ENST00000219478	O60304
ENST00000219479	O00746
ENST00000219481	Q9NUI1
ENST00000219535	
ENST00000219542	
ENST00000219548	Q9UNE7
ENST00000219551	O75783
ENST00000219593	Q05996
ENST00000219596	O15553
ENST00000219599	Q14894
ENST00000219611	O75808
ENST00000219638	
ENST00000219660	O94778
ENST00000219689	Q70CQ4
ENST00000219700	P30519
ENST00000219746	O15405
ENST00000219758	
ENST00000219771	
ENST00000219782	P56270-2
ENST00000219789	O14735
ENST00000219794	O14874
ENST00000219797	Q9H7Z6
ENST00000219821	Q6UXY8-3
ENST00000219833	P23975-2
ENST00000219837	Q1ED39
ENST00000219869	
ENST00000219905	Q8IWI9
ENST00000219919	O43315
ENST00000220003	P41240
ENST00000220058	Q96DP5
ENST00000220062	Q9NYN1
ENST00000220166	P09668
ENST00000220244	Q8WUJ3
ENST00000220325	Q9H223
ENST00000220420	O43548
ENST00000220429	Q06547
ENST00000220446	Q96LC9-3
ENST00000220478	Q8WXD2
ENST00000220496	Q9NVM6
ENST00000220507	Q96L33
ENST00000220509	Q9P253
ENST00000220514	O43482
ENST00000220531	Q9UL45
ENST00000220562	O43909
ENST00000220584	P37268
ENST00000220592	Q9UKV8
ENST00000220597	Q9NWQ8
ENST00000220616	P01266
ENST00000220659	Q9HAW0
ENST00000220669	Q8TCF1
ENST00000220676	P56715
ENST00000220751	O43353
ENST00000220763	Q9Y646
ENST00000220764	Q16698
ENST00000220772	Q8N474
ENST00000220809	P00750
ENST00000220812	Q9UBT3
ENST00000220822	Q8TB36
ENST00000220847	
ENST00000220849	P60228
ENST00000220853	Q15006
ENST00000220856	O95388-2
ENST00000220876	Q93045
ENST00000220888	Q9UHF7
ENST00000220913	Q9NRG0
ENST00000220931	P61601
ENST00000220940	Q99445
ENST00000220959	O95071-2
ENST00000220966	
ENST00000221086	Q96QG7
ENST00000221114	O00399
ENST00000221130	P00390
ENST00000221132	O00220
ENST00000221138	P62714
ENST00000221166	P07197
ENST00000221169	
ENST00000221200	Q7L273
ENST00000221214	
ENST00000221222	Q9NSC5-2
ENST00000221232	O75175
ENST00000221233	Q9NQT4
ENST00000221249	Q8IY17-2
ENST00000221264	Q03405-3
ENST00000221265	Q8N7H5
ENST00000221266	
ENST00000221283	Q15833
ENST00000221307	Q08477
ENST00000221315	O94892
ENST00000221327	Q9UJW8
ENST00000221347	Q9Y6R7
ENST00000221355	
ENST00000221363	O00754-2
ENST00000221399	O00295
ENST00000221403	Q9UQ10
ENST00000221413	
ENST00000221418	Q13011
ENST00000221419	P14866
ENST00000221421	P01229
ENST00000221431	Q9NP81
ENST00000221444	Q96RP8
ENST00000221448	P08621-2
ENST00000221452	Q01201
ENST00000221455	Q8N2M8
ENST00000221459	Q9HAP6
ENST00000221462	O75864
ENST00000221466	P55899
ENST00000221476	P06732
ENST00000221480	Q96HA9
ENST00000221481	
ENST00000221485	Q9P2U7
ENST00000221486	O75792
ENST00000221494	Q15428
ENST00000221496	P03971
ENST00000221498	Q9UK85
ENST00000221504	Q9NXH9-2
ENST00000221515	Q9HD89
ENST00000221538	Q9H0K4
ENST00000221543	Q9HA65
ENST00000221554	P13994
ENST00000221557	
ENST00000221561	Q08117-2
ENST00000221566	O43765
ENST00000221567	Q9H7L2
ENST00000221573	Q13487
ENST00000221576	
ENST00000221665	Q96SL8
ENST00000221671	Q9H6X5
ENST00000221700	P78329
ENST00000221722	Q9NZV7
ENST00000221730	Q9H6B9
ENST00000221735	Q96HQ0
ENST00000221740	P31944
ENST00000221742	P48664
ENST00000221770	
ENST00000221784	
ENST00000221797	Q9UHV8
ENST00000221801	P22087
ENST00000221804	Q05315
ENST00000221818	Q9H8S5-2
ENST00000221847	Q14213
ENST00000221855	Q99426
ENST00000221856	Q9BTV5
ENST00000221859	P36954
ENST00000221891	P51693-2
ENST00000221899	
ENST00000221905	
ENST00000221922	Q9Y3X0
ENST00000221930	P01137
ENST00000221943	Q9NW81
ENST00000221954	O75871
ENST00000221957	O60664
ENST00000221972	P11912
ENST00000221973	P55344-2
ENST00000221975	
ENST00000221978	Q16617
ENST00000221980	Q9UMF0
ENST00000221992	P06731
ENST00000221996	O43186
ENST00000221999	P40198-3
ENST00000222002	Q06520
ENST00000222005	Q16543
ENST00000222008	Q9UI14
ENST00000222032	Q9BYD5
ENST00000222033	Q8WWF5
ENST00000222107	O15389
ENST00000222115	Q92839
ENST00000222120	O95716
ENST00000222122	Q10586
ENST00000222125	Q13938-4
ENST00000222139	P19235
ENST00000222145	Q5U651
ENST00000222157	Q9NSA1
ENST00000222190	
ENST00000222212	P62955
ENST00000222214	Q92947
ENST00000222219	O00115
ENST00000222224	Q96BZ8
ENST00000222247	Q02543
ENST00000222248	Q92911
ENST00000222249	Q92952
ENST00000222250	Q8TBH0
ENST00000222254	O00459
ENST00000222256	P20336
ENST00000222266	Q9NZ42
ENST00000222270	Q9UMN6
ENST00000222271	P49747
ENST00000222275	O00322
ENST00000222284	Q9BVK8
ENST00000222286	O14556
ENST00000222301	
ENST00000222304	P81172
ENST00000222305	Q15853
ENST00000222307	Q9BQD3
ENST00000222308	Q14318
ENST00000222329	P50548
ENST00000222330	P49840
ENST00000222339	
ENST00000222345	O60292
ENST00000222374	Q8NFZ8
ENST00000222381	P27169
ENST00000222382	Q9HB55-2
ENST00000222388	Q9UG63-2
ENST00000222390	P14210
ENST00000222396	
